Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Aqueous Cream 5 XBC,Pharmaceuticals,,2409102040217,,25.7,55.642,40.0,,0,0,0,0,1,,,,,,
Arthrotec 75mg Ttab,Pharmaceuticals,,2212190858523,,9.28,40.0862,13.0,,0,0,1,0,1,Exp: 07/24,,0,0,1,1
Arziglobin Plus Syr,Pharmaceuticals,,2212141309326,,14.28,40.056,20.0,,0,0,1,0,1,Exp: 01/23,,0,0,1,1
Arziglobin Syr,Pharmaceuticals,,2212141310032,,12.85,40.0778,18.0,,0,0,1,0,1,Exp: 01/23,,0,0,1,1
Ascoryl Plus Syr,Pharmaceuticals,,2212141004177,,10.7,86.9159,20.0,,0,0,1,0,1,Exp: 07/24,,0,0,1,1
Ascoryl Syr,Pharmaceuticals,,2212141003491,,9.2,73.913,16.0,,0,0,1,0,1,Exp: 07/24,,0,0,1,1
Azis Tab 250mg (Azithromycin),Pharmaceuticals,,2212191353164,,8.57,40.0233,12.0,,0,0,1,0,1,Exp: 09/23,,0,0,1,1
Azis Tab 500mg (Azithromycin),Pharmaceuticals,,2212191356592,,20,75,35.0,,0,0,1,0,1,Exp: 05/24,,0,0,1,1
Baby Cough Linctus-E,Pharmaceuticals,,2212141059054,,7.85,40.1274,11.0,,0,0,1,0,1,Exp: 05/25,,0,0,1,1
BabyVite Sry 200ml,Pharmaceuticals,,2211271308117,,24.5,46.9388,36.0,,0,0,1,0,1,Exp: 03/23,,0,0,1,2
Vit-B Co Strong - Krika,Pharmaceuticals,,2212162333515,,47,44.6809,68.0,,0,0,1,0,1,Exp: 11/23,,0,0,1,2
BC 56 Cream,Pharmaceuticals,,2212191510581,,37.1,48.248,55.0,,0,0,1,0,1,Exp: 02/24,,0,0,1,1
Bells Children Cough Syr,Pharmaceuticals,,2212141038134,,26.4,40.1515,37.0,,1,1,1,0,1,Exp: 02/24,,0,0,1,1
Asthalex Syrup,Pharmaceuticals,,2212141418073,,10.71,40.056,15.0,,0,0,1,0,1,Exp: 03/25,,0,0,1,1
Astymin Syrup,Pharmaceuticals,,2212141355248,,50.7,47.929,75.0,,0,0,1,0,1,Exp: 11/24,,0,0,1,1
Atacan 16mg Tab,Pharmaceuticals,,2212172232518,,12.85,67.3152,21.5,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Atacand 8mg Tab,Pharmaceuticals,,2212172232150,,9.2,41.3043,13.0,,0,0,1,0,1,Exp: 02/25,,0,0,1,1
Atacand plus 16/2.5mg Tab,Pharmaceuticals,,2212172231368,,12.8,40.625,18.0,,0,0,1,0,1,Exp: 11/24,,0,0,1,1
Augmentin 1g Tab (GSK),Pharmaceuticals,,2212191332237,,248,45.1613,360.0,,0,0,1,0,1,Exp: 11/23,,0,0,1,1
Augmentin 625mg Tabs (GSK),Pharmaceuticals,,2212191335511,,161,45.9627,235.0,,0,0,1,0,1,Exp: 12/24,,0,0,1,1
Aunty Mary Gripe Water,Pharmaceuticals,,2211260532202,,19.8,46.4646,29.0,,0,0,1,0,1,Exp: 06/25,,0,0,1,3
Azilex Susp,Pharmaceuticals,,2211271159221,,38,47.3684,56.0,,0,0,1,0,1,Exp: 04/24,,0,0,1,2
Avomine Tab 25mg,Pharmaceuticals,,2212141550384,,6,50,9.0,,0,0,1,0,1,Exp: 10/24,,0,0,1,1
Borges Classic Olive Oil 750ml,Pharmaceuticals,,2211260008394,,130,40,182.0,,0,0,1,0,1,Exp: 03/24,,0,0,1,3
Borges Garlic Essence 250ml,Pharmaceuticals,,2211260010328,,46.42,40.0259,65.0,,0,0,0,0,0,Exp: 04/23,,0,0,1,3
Bro-zedex Syr,Pharmaceuticals,,2212141434066,,14.64,40.0273,20.5,,0,0,1,0,1,Exp: 05/24,,0,0,1,1
Buscopan IBS Relief Tab,Pharmaceuticals,,2212172054523,,4,50,6.0,,0,0,1,0,1,Exp: 03/26,,0,0,1,1
Camel Antiseptic 125ml,Pharmaceuticals,,,,9.32,40,0.0,,0,0,0,0,0,,,,,,
Camel Antiseptic 250ml,Non-pharmaceuticals,,2211280855480,,39.28,40.0204,55.0,,0,0,1,0,1,06/24,,0,0,1,2
Camel Antiseptic 500ml,Non-pharmaceuticals,,2211280858399,,46.42,40.0259,65.0,,0,0,1,0,1,Exp: 05/24,,0,0,1,2
Candibiotic Ear Drop,Pharmaceuticals,,2212141623507,,54.89,45.746,80.0,,0,0,1,0,1,Exp: 11/23,,0,0,1,2
Candid V6 Pess,Pharmaceuticals,,2212191533504,,15.4,46.1039,22.5,,0,0,1,0,1,Exp: 02/25,,0,0,1,1
Candid B Cream 15g,Pharmaceuticals,,2212191554004,,20,45,29.0,,0,0,1,0,1,Exp: 02/23,,0,0,1,1
Candid Cream 20g,Pharmaceuticals,,2212191548225,,18.21,40.0329,25.5,,0,0,1,0,1,Exp: 04/25,,0,0,1,1
Candiderm Cream 15g,Pharmaceuticals,,2212191552291,,16.57,50.8751,25.0,,0,0,1,0,1,Exp: 12/24,,0,0,1,1
Cartef 20/120 Susp,Pharmaceuticals,,2212191243502,,10.7,40.1869,15.0,,1,1,1,0,1,Exp: 11/23,,0,0,1,1
Cartef 20/120 Tab,Pharmaceuticals,,,,12.8,45,18.56,,1,1,0,0,0,,,,,,
Benylin children Dry Cough,Pharmaceuticals,,2212141247512,,65.09,45.9518,95.0,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Benylin Children Chesty Coughs,Pharmaceuticals,,2212141247048,,50,40,70.0,,0,0,1,0,1,Exp: 06/23,,0,0,1,1
BG-Glutamin Plus tab,Pharmaceuticals,,2212162337001,,19.5,53.8462,30.0,,0,0,1,0,1,Exp: 09/23,,0,0,1,1
Boafo Oint,Pharmaceuticals,,2212191514039,,7.1,40.8451,10.0,,0,0,1,0,1,Exp: 12/23,,0,0,1,1
Bonaplex Syr 250ml,Pharmaceuticals,,2212140958082,,48,45.8333,70.0,,0,0,1,0,1,Exp: 02/24,,0,0,1,1
Bonjela Infant Gel,Pharmaceuticals,,2212191522225,,95,42.1053,135.0,,0,0,1,0,1,Exp: 11/23,,0,0,1,1
Bonnisan Syr,Pharmaceuticals,,,,45.02,44.3803,65.0,,0,0,0,0,1,,,,,,
BORGES EXTRA VIRGIN 125ml,Pharmaceuticals,,2211260002019,,30,45,43.5,,0,0,1,0,1,Exp: 01/24,,0,0,1,3
Borges Classic Olive Oil 125ml,Pharmaceuticals,,2211260003313,,42,54.7619,65.0,,0,0,1,0,1,Exp: 01/24,,0,0,1,3
Borges Classic Olive Oil 500ml,Pharmaceuticals,,2211260006505,,136,40.0735,190.5,,0,0,1,0,1,Exp: 10/23,,0,0,1,3
Clotri Denk 1% Cream,Pharmaceuticals,,2212191546351,,52.95,50.1416,79.5,,0,0,1,0,1,Exp: 12/24,,0,0,1,1
Coartem 80/480 Tab,Pharmaceuticals,,2212191228424,,70.1,71.184,120.0,,0,0,1,0,1,Exp: 05/23,,0,0,1,1
Coartem Disp. 20/120 Tab 12's,Pharmaceuticals,,2212191229520,,39,41.0256,55.0,,0,0,1,0,1,Exp: 05/23,,0,0,1,1
Coldrilif syr 60ml,Pharmaceuticals,,2212201228222,,11.4,49.1228,17.0,,0,0,1,0,1,Exp: 10/24,,0,0,1,5
Coldrilif Tab,Pharmaceuticals,,2212141307490,,6.41,56.0062,10.0,,0,0,1,0,1,Exp: 10/24,,0,0,1,1
Funbact A Cream 30g,Pharmaceuticals,,2212191554554,,12.5,52,19.0,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Contiflo XL Cap 400 micrograms,Pharmaceuticals,,2212172102415,,38.5,68.8312,65.0,,0,0,1,0,1,Exp: 10/23,,0,0,1,5
Contra 72,Pharmaceuticals,,2212161856442,,4.15,140.9639,10.0,,1,1,1,0,1,Exp: 09/24,,0,0,1,1
Cororange Caps,Pharmaceuticals,,2212141507043,,8.21,40.0731,11.5,,0,0,1,0,1,Exp: 03/24,,0,0,1,1
Cororange Plus Syr 200ml,Pharmaceuticals,,2212141312067,,18.76,46.5885,27.5,,0,0,1,0,1,Exp: 07/24,,0,0,1,1
Co-trimoxazole Blister St,Pharmaceuticals,,,,88,40,0.0,,0,0,0,0,0,,,,,,
Co-trimoxazole Susp 1.,Pharmaceuticals,,,,2.82,40,0.0,,0,0,0,0,0,,,,,,
Cotton 100g,Pharmaceuticals,,2211260136073,,15,46.6667,22.0,,0,0,1,0,1,Exp: 09/26,,0,0,1,3
Castor Oil Bell's,Pharmaceuticals,,2211252357233,,35,45.7143,51.0,,0,0,1,0,1,Exp: 09/25,,0,0,1,3
Cebrontonin 800mg Tab,Pharmaceuticals,,2212172033269,,4.6,41.3043,6.5,,0,0,1,0,1,Exp: 06/24,,0,0,1,1
Ceftriaxone Inj 1gm,Pharmaceuticals,,2212161934287,,30,50,45.0,,0,0,1,0,1,Exp: 10/23,,0,0,1,1
Cefuroxime Susp 125m/5ml - Cime,Pharmaceuticals,,2211260611228,,14.28,40.056,20.0,,0,0,1,0,1,Exp: 09/23,,0,0,1,3
Cefuroxime 500mg Tab - Cime,Pharmaceuticals,,2212191201533,,2,100,4.0,,0,0,1,0,1,Exp: 08/23,,0,0,1,1
Cetapol Pm Syrup,Pharmaceuticals,,2211271646226,,10,45,14.5,,0,0,1,0,1,Exp: 02/25,,0,0,1,2
Cetapol Syrup,Pharmaceuticals,,2211271647148,,11.4,40.3509,16.0,,0,0,1,0,1,Exp: 02/25,,0,0,1,2
Chocho Cream (Tube),Non-pharmaceuticals,,2211280809179,,9.4,48.9362,14.0,,0,0,1,0,1,Exp: 05/25,,0,0,1,2
Ciprolex 500mg Tab,Pharmaceuticals,,,,23,52.1739,35.0,,0,0,0,0,1,,,5,20,1,5
Ciprolex Eye/Ear Drop,Pharmaceuticals,,2212191606147,,22,45.4545,32.0,,0,0,1,0,1,Exp: 02/24,,0,0,1,1
Ciprolex TZ Tab 500mg,Pharmaceuticals,,2212191213123,,48,45.8333,70.0,,0,0,1,0,1,Exp: 05/25,,0,0,1,1
Cirotamin Caps,Pharmaceuticals,,2212141501577,,11.5,47.8261,17.0,,0,0,1,0,1,Exp: 12/23,,0,0,1,1
Cirotamin Syr,Pharmaceuticals,,,,18.9,42.8571,27.0,,0,0,1,0,1,Exp: 01/24,,0,0,1,1
Citro-C Tab 100mg,Pharmaceuticals,,2212180044462,,2.66,50.3759,4.0,,0,0,1,0,1,Exp: 07/24,,0,0,1,1
Cotton 200g,Pharmaceuticals,,2211260134321,,18.2,41,25.662,,0,0,1,0,1,Exp: 09/26,,0,0,1,3
Cotton 500g,Pharmaceuticals,,2211260138435,,35,42.8571,50.0,,0,0,1,0,1,Exp: 02/27,,0,0,1,3
Cotton 50g,Pharmaceuticals,,2301221848036,,7.8,53.8462,12.0,,0,0,0,0,1,,,0,0,1,5
Crepe Bandage 3'',Pharmaceuticals,,2211260113135,,5,60,8.0,,0,0,1,0,1,,,0,0,1,3
Crepe Bandage 4'',Pharmaceuticals,,2211260115474,,7,57.1429,11.0,,0,0,1,0,1,,,0,0,1,3
Crestor 10mg Tab,Pharmaceuticals,,2212191036265,,7.8,41.0256,11.0,,0,0,1,0,1,Exp: 05/23,,0,0,1,1
Cyfen Susp,Pharmaceuticals,,2212141344273,,28,46.4286,41.0,,0,0,1,0,1,Exp: 03/24,,0,0,1,1
Daktarin Cream jansesen 2% 15g,Pharmaceuticals,,2212162344009,,50,40,70.0,,0,0,1,0,1,Exp: 12/23,,0,0,1,1
DALACIN-C CAPS 300MG,Pharmaceuticals,,2212191330585,,8.1,48.1481,12.0,,0,0,1,0,1,Exp: 08/25,,0,0,1,1
Dazole-F Susp,Pharmaceuticals,,2211271218096,,11.42,40.1051,16.0,,0,0,1,0,1,Exp: 12/24,,0,0,1,3
Deep Freez Gel 35g,Pharmaceuticals,,2212191421511,,53.59,45.5495,78.0,,0,0,1,0,1,Exp: 09/24,,0,0,1,1
Deep Heat Rub 67g,Pharmaceuticals,,2212191415473,,56.78,40.0141,79.5,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Deep Heat Spray,Pharmaceuticals,,2212191501053,,77.1,40.0778,108.0,,0,0,0,0,1,,,,,,
Dermiron Plus Cream 30g,Pharmaceuticals,,2212191532323,,5.75,73.913,10.0,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Dermovate Cream,Pharmaceuticals,,2212191556046,,67.14,4.2598,70.0,,0,0,1,0,1,Exp: 08/23,,0,0,1,1
Dexorange Plus Syr 200ml,Pharmaceuticals,,2212141334229,,32.59,47.2844,48.0,,0,0,1,0,1,Exp: 02/24,,0,0,1,1
Diamicron MR 30mg Tab,Pharmaceuticals,,2212190815045,,3.52,56.25,5.5,,0,0,1,0,1,Exp: 11/23,,0,0,1,1
Diclolex Power Heat Gel,Pharmaceuticals,,,,12,50,18.0,,0,0,0,0,1,,,,,,
Diclolex 50mg Tab,Pharmaceuticals,,2212180038034,,1.42,40.8451,2.0,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Dicnac Supp 100mg,Pharmaceuticals,,2212172114463,,1.29,93.7984,2.5,,0,0,1,0,1,Exp: 06/24,,0,0,1,1
Diflucan Caps 150mg,Pharmaceuticals,,2212191252535,,79,51.8987,120.0,,0,0,1,0,1,Exp: 05/26,,0,0,1,1
Diphex Cough Syr Adult 100ml,Pharmaceuticals,,2212141429109,,10.71,40.056,15.0,,0,0,1,0,1,Exp: 03/25,,0,0,1,1
Diphex Bronchdilator,Pharmaceuticals,,2212141430181,,10,40,14.0,,0,0,1,0,1,Exp: 04/25,,0,0,1,1
Diphex Antitussif & Expectorant,Pharmaceuticals,,2212201310156,,10.3,40.7767,14.5,,0,0,1,0,1,Exp: 04/25,,0,0,1,1
Diphex Junior Cough Syr,Pharmaceuticals,,2211271254032,,9.6,40.625,13.5,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Dithranol Ointment,Non-pharmaceuticals,,2211280819536,,15.75,52.381,24.0,,0,0,1,0,1,Exp: 03/25,,0,0,1,2
Dopatab M250,Pharmaceuticals,,2212172221222,,1.05,138.0952,2.5,,0,0,1,0,1,Exp: 04/24,,0,0,1,1
Doreta Tab,Pharmaceuticals,,2212190955154,,5,50,7.5,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Dragon Tab 20mg,Pharmaceuticals,,2212172158115,,5.75,73.913,10.0,,0,0,1,0,1,Exp: 09/24,,0,0,1,4
Dragon Lozenges,Pharmaceuticals,,2212172157279,,6.7,49.2537,10.0,,0,0,1,0,1,Exp: 07/23,,0,0,1,1
Dragon Postpil,Pharmaceuticals,,,,3.5,40,0.0,,0,0,0,0,0,,,,,,
Drez Oint 10g,Pharmaceuticals,,2212172349032,,19.75,51.8987,30.0,,0,0,1,0,1,Exp: 10/24,,0,0,1,1
Drez Oint 30g,Pharmaceuticals,,2212172349438,,37.3,46.1126,54.5,,0,0,1,0,1,Exp: 08/23,,0,0,1,1
Drez Powder 10g,Pharmaceuticals,,2212172358362,,21.74,47.1941,32.0,,0,0,1,0,1,Exp: 10/24,,0,0,1,1
Drez Soln 100ml,Pharmaceuticals,,2212172357396,,44.85,46.0424,65.5,,0,0,1,0,1,Exp: 07/24,,0,0,1,1
Drez Soln 30ml,Pharmaceuticals,,2212172356290,,23.3,50.2146,35.0,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Durex Condom 3n1,Pharmaceuticals,,2212201635532,,27,55.5556,42.0,,0,0,1,0,1,Exp: 11/26,,0,0,1,1
Durol Tonic 200ml,Pharmaceuticals,,2212141423503,,18.27,47.7833,27.0,,0,0,1,0,1,Exp: 10/24,,0,0,1,1
Durol 300ml,Pharmaceuticals,,,,24.86,48.8335,37.0,,0,0,0,0,1,,,,,,
Durol Junior,Pharmaceuticals,,2212141002487,,7.85,40.1274,11.0,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Easy  Check Preg Test Casset,Pharmaceuticals,,,,2,150,5.0,,0,0,0,0,1,,,,,,
E - Panol Syr,Pharmaceuticals,,,,5,40,0.0,,0,0,0,0,0,,,,,,
Efpac Junior Syr,Pharmaceuticals,,2211271648152,,13.2,51.5152,20.0,,0,0,1,0,1,Exp: 03/25,,0,0,1,2
Efpac Tab,Pharmaceuticals,,2212180040006,,2.38,47.0588,3.5,,0,0,0,0,1,Exp: 02/25,,0,0,1,1
Emgiflox 250mg (MGP),Pharmaceuticals,,2212191108009,,4.64,40.0862,6.5,,0,0,1,0,1,Exp: 01/24,,0,0,1,1
Eskadol Nyte Tab,Pharmaceuticals,,2212191012313,,6.08,64.4737,10.0,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Enacef Susp 125mg/ 5ml,Pharmaceuticals,,2211260607337,,32.8,46.3415,48.0,,0,0,1,0,1,Exp: 04/24,,0,0,1,3
Enacef Tab 250mg,Pharmaceuticals,,,,3.48,72.4138,6.0,,0,0,0,0,1,,,,,,
Enafix Susp 100mg/5ml,Pharmaceuticals,,2211260609492,,32,50,48.0,,0,0,1,0,1,Exp: 09/23,,0,0,1,3
Enamycin Susp 125mg/5ml (100ml),Pharmaceuticals,,2211271214159,,16,40.625,22.5,,0,0,1,0,1,Exp: 09/23,,0,0,1,3
Enamycin 250mg Caps,Pharmaceuticals,,2212191109075,,5.71,40.1051,8.0,,0,0,1,0,1,Exp: 10/25,,0,0,1,1
Enaphage 500mg Tab,Pharmaceuticals,,2212190813188,,1.6,87.5,3.0,,0,0,1,0,1,Exp: 12/25,,0,0,1,1
Entramol 500mg Tab - Flat,Pharmaceuticals,,2212190914076,,5,40,7.0,,0,0,1,0,1,Exp: 09/24,,0,0,1,1
Entramol Plus Tab,Pharmaceuticals,,2212190912393,,8,43.75,11.5,,0,0,1,0,1,Exp: 06/23,,0,0,1,1
Euthymol whitening Tpaste ,Non-pharmaceuticals,,2211280958310,,44.28,40.0181,62.0,,0,0,1,0,1,Exp: 12/23,,0,0,1,2
Evecare Syr 200ml,Pharmaceuticals,,2211271536435,,101.2,45.2569,147.0,,0,0,1,0,1,Exp: 12/24,,0,0,1,2
Evecare Cap,Pharmaceuticals,,2211271723156,,101.4,44.9704,147.0,,0,0,1,0,1,Exp: 03/25,,0,0,1,2
Exforge  5mg/160mg Tab,Pharmaceuticals,,2212172258242,,10.7,40.1869,15.0,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Exforge HCT 10/160/12.5mg Tab,Pharmaceuticals,,2212172256040,,13.2,40.1515,18.5,,0,0,1,0,1,Exp: 09/23,,0,0,1,1
Ezipen Tabs,Pharmaceuticals,,2212191006343,,4.04,48.5149,6.0,,0,0,1,0,1,Exp: 11/21,,0,0,1,1
Eyecopan Caps,Pharmaceuticals,,2212162230302,,53.5,40.1869,75.0,,0,0,1,0,1,Exp: 12/23,,0,0,1,1
Bottle water 750ml ,Pharmaceuticals,,2301092146569,,3.25,23.0769,4.0,,0,0,0,0,1,,,0,0,1,15
Ferofix Blood Tonic,Pharmaceuticals,,2212141318212,,9.5,57.8947,15.0,,0,0,1,0,1,Exp: 01/24,,0,0,1,1
Ferrodex Blood Builder Syr,Pharmaceuticals,,2212141331341,,15.6,60.2564,25.0,,0,0,1,0,1,Exp: 07/23,,0,0,1,1
Feroglobin Syrup,Pharmaceuticals,,2212141314344,,76.63,50.0718,115.0,,0,0,0,0,1,Exp: 09/23,,0,0,1,1
Ferrolex Syr 250ml,Pharmaceuticals,,2212141328242,,38,44.7368,55.0,,0,0,1,0,1,Exp: 12/23,,0,0,1,1
Ferrous Sulphate Syr,Pharmaceuticals,,2212141325128,,15.71,40.0382,22.0,,0,0,1,0,1,Exp: 02/23\n,,0,0,1,1
Fine Fine Ointment,Non-pharmaceuticals,,2211280815231,,2.85,40.3509,4.0,,0,0,1,0,1,Exp: 01/25,,0,0,1,2
Fine Fine Herbal Soap,Non-pharmaceuticals,,2211280807229,,3.57,40.056,5.0,,0,0,1,0,1,Exp: 10/25,,0,0,1,2
Examination Gloves,Pharmaceuticals,,2211260100067,,0.5,300,2.0,,0,0,1,0,1,,,0,0,1,2
Fishermans Friend,Pharmaceuticals,,2212141548299,,20,45,29.0,,0,0,1,0,1,Exp: 06/24,,0,0,1,1
Flagentyl 500mg Tab,Pharmaceuticals,,2212191136026,,41.42,40.029,58.0,,0,0,1,0,1,Exp: 05/24,,0,0,1,1
Flemex Junior Cough Syr,Pharmaceuticals,,2212141254497,,15,46.6667,22.0,,0,0,1,0,1,Exp: 04/25,,0,0,1,1
Flotac 75mg Caps,Pharmaceuticals,,2212190916070,,6.75,48.1481,10.0,,0,0,1,0,1,Exp: 08/24,,0,0,1,1
Flucor day Caps,Pharmaceuticals,,2212141540576,,36.86,49.2132,55.0,,0,0,1,0,1,Exp: 02/25,,0,0,1,1
Fluxamox 500 Caps,Pharmaceuticals,,2212191112150,,12.4,77.4194,22.0,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Fluxaxin Susp 125mg/5ml,Pharmaceuticals,,2211271227340,,13.98,43.0615,20.0,,0,0,1,0,1,Exp: 05/24,,0,0,1,2
Folic Acid Local (per strips),Pharmaceuticals,,2211252141269,,0.57,75.4386,1.0,,0,0,1,0,1,Exp: 01/25,,0,0,1,1
Folic Acid UK Pack,Pharmaceuticals,,2211252138139,,21.83,37.4256,30.0,,0,0,0,0,1,Exp: 07/24,,0,0,1,5
Foligrow Caps,Pharmaceuticals,,2212141459113,,27.7,44.4043,40.0,,0,0,1,0,1,08/24,,0,0,1,1
Foligrow Tonic,Pharmaceuticals,,2212141319363,,34.3,45.7726,50.0,,0,0,1,0,1,Exp: 08/23,,0,0,1,1
Foliron Syr 200ml,Pharmaceuticals,,2212141419490,,12.14,40.0329,17.0,,0,0,1,0,1,Exp: 02/23,,0,0,1,1
Franko Herbal Mixture,Pharmaceuticals,,2211271422547,,14.28,40.056,20.0,,0,0,1,0,1,Exp: 01/24,,0,0,1,2
Fresh Lady Caps,Pharmaceuticals,,2211271516475,,20,40,28.0,,0,0,1,0,1,Exp: 04/23,,0,0,1,2
Freshman Caps,Pharmaceuticals,,2211271512408,,20,40,28.0,,0,0,1,0,1,Exp: 09/23,,0,0,1,2
Para Syr - Phamanova,Pharmaceuticals,,,,4.5,40,0.0,,0,0,0,0,0,,,,,,
Para Syr - Entrance,Pharmaceuticals,,,,4.2,40,0.0,,0,0,0,0,0,,,,,,
"Para Uk 100,S",Pharmaceuticals,,,,16,40,0.0,,0,0,0,0,0,,,,,,
Parafenac Tab,Pharmaceuticals,,2212191009368,,2.8,150,7.0,,0,0,1,0,1,Exp: 05/25,,0,0,1,1
Permoxyl 500mg Caps (ECL),Pharmaceuticals,,2212191114598,,9.1,48.3516,13.5,,0,0,1,0,1,Exp: 11/24,,0,0,1,1
Permoxyl susp,Pharmaceuticals,,2303252151536,,12.1,40.4959,17.0,,0,0,0,0,1,,,,,,
